FilePath,FaultType,FaultSize,SensorPosition,SamplingFreq,Load,RPM,DataNumber,ORPosition,BA_Length,DE_Length,FE_Length
data\source\12kHz_FE_data\B\0021\B021_1.mat,B,0021,FE,12000.0,1,1775.0,X291,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0021\B021_2.mat,B,0021,FE,12000.0,2,1756.0,X292,NA,96000,96000,96000
data\source\12kHz_FE_data\B\0021\B021_3.mat,B,0021,FE,12000.0,3,1734.0,X293,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0007\IR007_0.mat,IR,0007,FE,12000.0,0,1796.0,X278,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0007\IR007_1.mat,IR,0007,FE,12000.0,1,1772.0,X279,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0007\IR007_2.mat,IR,0007,FE,12000.0,2,1755.0,X280,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0007\IR007_3.mat,IR,0007,FE,12000.0,3,1732.0,X281,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0014\IR014_0.mat,IR,0014,FE,12000.0,0,1796.0,X274,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0014\IR014_1.mat,IR,0014,FE,12000.0,1,1775.0,X275,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0014\IR014_2.mat,IR,0014,FE,12000.0,2,1755.0,X276,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0014\IR014_3.mat,IR,0014,FE,12000.0,3,1733.0,X277,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0021\IR021_0.mat,IR,0021,FE,12000.0,0,1796.0,X270,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0021\IR021_1.mat,IR,0021,FE,12000.0,1,1776.0,X271,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0021\IR021_2.mat,IR,0021,FE,12000.0,2,1758.0,X272,NA,96000,96000,96000
data\source\12kHz_FE_data\IR\0021\IR021_3.mat,IR,0021,FE,12000.0,3,1737.0,X273,NA,96000,96000,96000
data\source\12kHz_FE_data\OR\Centered\0007\OR007@6_0.mat,OR,0007,FE,12000.0,0,1797.0,X294,Centered,96000,96000,96000
data\source\12kHz_FE_data\OR\Centered\0007\OR007@6_1.mat,OR,0007,FE,12000.0,1,1776.0,X295,Centered,96000,96000,96000
data\source\12kHz_FE_data\OR\Centered\0007\OR007@6_2.mat,OR,0007,FE,12000.0,2,1756.0,X296,Centered,96000,96000,96000
data\source\12kHz_FE_data\OR\Centered\0007\OR007@6_3.mat,OR,0007,FE,12000.0,3,1733.0,X297,Centered,96000,96000,96000
data\source\12kHz_FE_data\OR\Centered\0014\OR014@6_0.mat,OR,0014,FE,12000.0,0,1797.0,X313,Centered,96000,96000,96000
data\source\12kHz_FE_data\OR\Centered\0021\OR021@6_0.mat,OR,0021,FE,12000.0,0,1797.0,X315,Centered,96000,96000,96000
data\source\12kHz_FE_data\OR\Opposite\0007\OR007@12_0.mat,OR,0007,FE,12000.0,0,1797.0,X302,Opposite,96000,96000,96000
data\source\12kHz_FE_data\OR\Opposite\0007\OR007@12_1.mat,OR,0007,FE,12000.0,1,1775.0,X305,Opposite,96000,96000,96000
data\source\12kHz_FE_data\OR\Opposite\0007\OR007@12_2.mat,OR,0007,FE,12000.0,2,1755.0,X306,Opposite,96000,96000,96000
data\source\12kHz_FE_data\OR\Opposite\0007\OR007@12_3.mat,OR,0007,FE,12000.0,3,1733.0,X307,Opposite,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0007\OR007@3_0.mat,OR,0007,FE,12000.0,0,1797.0,X298,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0007\OR007@3_1.mat,OR,0007,FE,12000.0,1,1776.0,X299,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0007\OR007@3_2.mat,OR,0007,FE,12000.0,2,1755.0,X300,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0007\OR007@3_3.mat,OR,0007,FE,12000.0,3,1733.0,X301,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0014\OR014@3_0.mat,OR,0014,FE,12000.0,0,1796.0,X310,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0014\OR014@3_1.mat,OR,0014,FE,12000.0,1,1774.0,X309,Orthogonal,121168,121168,121168
data\source\12kHz_FE_data\OR\Orthogonal\0014\OR014@3_2.mat,OR,0014,FE,12000.0,2,1752.0,X311,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0014\OR014@3_3.mat,OR,0014,FE,12000.0,3,1728.0,X312,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0021\OR021@3_1.mat,OR,0021,FE,12000.0,1,1773.0,X316,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0021\OR021@3_2.mat,OR,0021,FE,12000.0,2,1751.0,X317,Orthogonal,96000,96000,96000
data\source\12kHz_FE_data\OR\Orthogonal\0021\OR021@3_3.mat,OR,0021,FE,12000.0,3,1728.0,X318,Orthogonal,96000,96000,96000
data\source\48kHz_DE_data\B\0007\B007_0.mat,B,0007,DE,48000.0,0,1796.0,X122,NA,0,192000,192000
data\source\48kHz_DE_data\B\0007\B007_1.mat,B,0007,DE,48000.0,1,1772.0,X123,NA,0,192000,192000
data\source\48kHz_DE_data\B\0007\B007_2.mat,B,0007,DE,48000.0,2,1747.0,X124,NA,0,192000,192000
data\source\48kHz_DE_data\B\0007\B007_3.mat,B,0007,DE,48000.0,3,1721.0,X125,NA,0,192000,192000
data\source\48kHz_DE_data\B\0014\B014_0.mat,B,0014,DE,48000.0,0,1797.0,X189,NA,0,192000,192000
data\source\48kHz_DE_data\B\0014\B014_1.mat,B,0014,DE,48000.0,1,1772.0,X190,NA,0,192000,192000
data\source\48kHz_DE_data\B\0014\B014_2.mat,B,0014,DE,48000.0,2,1748.0,X191,NA,0,192000,192000
data\source\48kHz_DE_data\B\0014\B014_3.mat,B,0014,DE,48000.0,3,1725.0,X192,NA,0,192000,192000
data\source\48kHz_DE_data\B\0021\B021_0.mat,B,0021,DE,48000.0,0,1797.0,X226,NA,0,192000,192000
data\source\48kHz_DE_data\B\0021\B021_1.mat,B,0021,DE,48000.0,1,1774.0,X227,NA,0,192000,192000
data\source\48kHz_DE_data\B\0021\B021_2.mat,B,0021,DE,48000.0,2,1754.0,X228,NA,0,192000,192000
data\source\48kHz_DE_data\B\0021\B021_3.mat,B,0021,DE,48000.0,3,1729.0,X229,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0007\IR007_0.mat,IR,0007,DE,48000.0,0,1796.0,X109,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0007\IR007_1.mat,IR,0007,DE,48000.0,1,1772.0,X110,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0007\IR007_2.mat,IR,0007,DE,48000.0,2,1748.0,X111,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0007\IR007_3.mat,IR,0007,DE,48000.0,3,1721.0,X112,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0014\IR014_0.mat,IR,0014,DE,48000.0,0,1796.0,X173,NA,0,63788,63788
data\source\48kHz_DE_data\IR\0014\IR014_1.mat,IR,0014,DE,48000.0,1,1772.0,X175,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0014\IR014_2.mat,IR,0014,DE,48000.0,2,1751.0,X176,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0014\IR014_3.mat,IR,0014,DE,48000.0,3,1726.0,X177,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0021\IR021_0.mat,IR,0021,DE,48000.0,0,1796.0,X213,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0021\IR021_1.mat,IR,0021,DE,48000.0,1,1774.0,X214,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0021\IR021_2.mat,IR,0021,DE,48000.0,2,1752.0,X215,NA,0,192000,192000
data\source\48kHz_DE_data\IR\0021\IR021_3.mat,IR,0021,DE,48000.0,3,1727.0,X217,NA,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0007\OR007@6_0.mat,OR,0007,DE,48000.0,0,1796.0,X135,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0007\OR007@6_1.mat,OR,0007,DE,48000.0,1,1774.0,X136,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0007\OR007@6_2.mat,OR,0007,DE,48000.0,2,1750.0,X137,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0007\OR007@6_3.mat,OR,0007,DE,48000.0,3,1725.0,X138,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0014\OR014@6_0.mat,OR,0014,DE,48000.0,0,1796.0,X201,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0014\OR014@6_1.mat,OR,0014,DE,48000.0,1,1772.0,X202,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0014\OR014@6_2.mat,OR,0014,DE,48000.0,2,1749.0,X203,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0014\OR014@6_3.mat,OR,0014,DE,48000.0,3,1723.0,X204,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0021\OR021@6_0.mat,OR,0021,DE,48000.0,0,1796.0,X238,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0021\OR021@6_1.mat,OR,0021,DE,48000.0,1,1771.0,X239,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0021\OR021@6_2.mat,OR,0021,DE,48000.0,2,1747.0,X240,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Centered\0021\OR021@6_3.mat,OR,0021,DE,48000.0,3,1719.0,X241,Centered,0,192000,192000
data\source\48kHz_DE_data\OR\Opposite\0007\OR007@12_0.mat,OR,0007,DE,48000.0,0,1796.0,X161,Opposite,0,129969,129969
data\source\48kHz_DE_data\OR\Opposite\0007\OR007@12_1.mat,OR,0007,DE,48000.0,1,1772.0,X162,Opposite,0,192000,192000
data\source\48kHz_DE_data\OR\Opposite\0007\OR007@12_2.mat,OR,0007,DE,48000.0,2,1749.0,X163,Opposite,0,192000,192000
data\source\48kHz_DE_data\OR\Opposite\0007\OR007@12_3.mat,OR,0007,DE,48000.0,3,1723.0,X164,Opposite,0,192000,192000
data\source\48kHz_DE_data\OR\Opposite\0021\OR021@12_0.mat,OR,0021,DE,48000.0,0,1796.0,X262,Opposite,0,130549,130549
data\source\48kHz_DE_data\OR\Opposite\0021\OR021@12_1.mat,OR,0021,DE,48000.0,1,1771.0,X263,Opposite,0,192000,192000
data\source\48kHz_DE_data\OR\Opposite\0021\OR021@12_2.mat,OR,0021,DE,48000.0,2,1746.0,X264,Opposite,0,192000,192000
data\source\48kHz_DE_data\OR\Opposite\0021\OR021@12_3.mat,OR,0021,DE,48000.0,3,1718.0,X265,Opposite,0,192000,192000
data\source\48kHz_DE_data\OR\Orthogonal\0007\OR007@3_0.mat,OR,0007,DE,48000.0,0,1797.0,X148,Orthogonal,0,124602,124602
data\source\48kHz_DE_data\OR\Orthogonal\0007\OR007@3_1.mat,OR,0007,DE,48000.0,1,1773.0,X149,Orthogonal,0,192000,192000
data\source\48kHz_DE_data\OR\Orthogonal\0007\OR007@3_2.mat,OR,0007,DE,48000.0,2,1750.0,X150,Orthogonal,0,192000,192000
data\source\48kHz_DE_data\OR\Orthogonal\0007\OR007@3_3.mat,OR,0007,DE,48000.0,3,1724.0,X151,Orthogonal,0,192000,192000
data\source\48kHz_DE_data\OR\Orthogonal\0021\OR021@3_0.mat,OR,0021,DE,48000.0,0,1796.0,X250,Orthogonal,0,128663,128663
data\source\48kHz_DE_data\OR\Orthogonal\0021\OR021@3_1.mat,OR,0021,DE,48000.0,1,1770.0,X251,Orthogonal,0,192000,192000
data\source\48kHz_DE_data\OR\Orthogonal\0021\OR021@3_2.mat,OR,0021,DE,48000.0,2,1746.0,X252,Orthogonal,0,192000,192000
data\source\48kHz_DE_data\OR\Orthogonal\0021\OR021@3_3.mat,OR,0021,DE,48000.0,3,1719.0,X253,Orthogonal,0,192000,192000
data\source\48kHz_Normal_data\N_0.mat,N,0,DE,48000.0,0,1796.0,X097,NA,0,243938,243938
data\source\48kHz_Normal_data\N_1_(1772rpm).mat,N,0,DE,48000.0,1,1772.0,X098,NA,0,384000,384000
data\source\48kHz_Normal_data\N_2_(1750rpm).mat,N,0,DE,48000.0,2,1750.0,X099,NA,0,384000,384000
data\source\48kHz_Normal_data\N_3.mat,N,0,DE,48000.0,3,1725.0,X100,NA,0,384000,384000
